Unnamed: 0,SizeRank,RegionName,StateName,State,City,Metro,CountyName,Percent Change,ZHVF 1-Year Forecast (%),Mean Income,luxury_business_count
1202,1271,77493,TX,TX,Katy,"Houston-The Woodlands-Sugar Land, TX",Harris County,2.767366621640284,2.7,68596.0,0
1203,1272,78227,TX,TX,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,10.34635118723919,3.0,33125.0,0
1204,1273,76502,TX,TX,Temple,"Killeen-Temple, TX",Bell County,1.072344680337688,3.9,46524.0,0
1205,1273,78414,TX,TX,Corpus Christi,"Corpus Christi, TX",Nueces County,1.8867489591014308,1.0,59292.81818181818,0
1207,1276,76017,TX,TX,Arlington,"Dallas-Fort Worth-Arlington, TX",Tarrant County,0.4284918024047368,3.8,54732.181818181816,0
1208,1277,15108,PA,PA,Coraopolis,"Pittsburgh, PA",Allegheny County,-1.3326691214146364,2.5,55086.181818181816,0
1209,1278,30606,GA,GA,Athens,"Athens-Clarke County, GA",Clarke County,6.688095416815298,6.3,38999.90909090909,0
1210,1279,85323,AZ,AZ,Avondale,"Phoenix-Mesa-Chandler, AZ",Maricopa County,-2.280451771809612,5.8,43967.181818181816,0
1211,1280,87144,NM,NM,Rio Rancho,"Albuquerque, NM",Sandoval County,8.105005288350272,4.9,52777.545454545456,0
1212,1281,20001,DC,DC,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,1.2357471242454563,0.8,106551.81818181818,0
1213,1282,78741,TX,TX,Austin,"Austin-Round Rock-Georgetown, TX",Travis County,-3.9111206119119113,1.3,47378.545454545456,0
1214,1283,34293,FL,FL,Venice,"North Port-Sarasota-Bradenton, FL",Sarasota County,11.709899082992449,4.7,47410.454545454544,0
1215,1284,98225,WA,WA,Bellingham,"Bellingham, WA",Whatcom County,4.281211836105907,4.8,40779.72727272727,0
1217,1287,2128,MA,MA,Boston,"Boston-Cambridge-Newton, MA-NH",Suffolk County,8.68897124640354,2.4,59922.0,0
1218,1288,98118,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,1.9661706459973571,3.0,64859.09090909091,0
1220,1290,92109,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,5.510056346204591,4.0,78640.81818181818,0
1221,1292,33436,FL,FL,Boynton Beach,"Miami-Fort Lauderdale-Pompano Beach, FL",Palm Beach County,2.402990566398602,5.4,51938.90909090909,0
1222,1294,7601,NJ,NJ,Hackensack,"New York-Newark-Jersey City, NY-NJ-PA",Bergen County,5.420422249188248,1.2,61452.90909090909,0
1223,1295,37918,TN,TN,Knoxville,"Knoxville, TN",Knox County,9.173053044371352,8.2,41052.27272727273,0
